-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none
-dDc--------- : /cpus/idle-states/cpu-sleep-0-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt67xx_v3.c : CONFIG_MACH_MT6799 : none
-dDc--------- : /cpus/idle-states/cpu-sleep-0-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt81xx_v2.c : CONFIG_MACH_MT8167 : none

-d-c--------- : /fixedregulator@0 : regulator-fixed : drivers/regulator/fixed.c : CONFIG_REGULATOR_FIXED_VOLTAGE : none

-d-c--------- : /fixedregulator@1 : regulator-fixed : drivers/regulator/fixed.c : CONFIG_REGULATOR_FIXED_VOLTAGE : none

-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-gemini/board-nas4220b.c : CONFIG_MACH_NAS4220B : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-gemini/board-rut1xx.c : CONFIG_MACH_RUT100 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-gemini/board-wbd111.c : CONFIG_MACH_WBD111 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-gemini/board-wbd222.c : CONFIG_MACH_WBD222 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-imx/devices/platform-gpio_keys.c : CONFIG_IMX_HAVE_PLATFORM_GPIO_KEYS : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-omap1/board-htcherald.c : CONFIG_MACH_HERALD : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-omap2/board-ldp.c : CONFIG_MACH_OMAP_LDP : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-omap2/board-rx51-peripherals.c : CONFIG_MACH_NOKIA_RX51 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/dns323-setup.c : CONFIG_MACH_DNS323 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/ls-chl-setup.c : CONFIG_MACH_LINKSTATION_LSCHL : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/ls_hgl-setup.c : CONFIG_MACH_LINKSTATION_LS_HGL : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/mv2120-setup.c : CONFIG_MACH_MV2120 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/net2big-setup.c : CONFIG_MACH_NET2BIG : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/ts209-setup.c : CONFIG_MACH_TS209 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/ts409-setup.c : CONFIG_MACH_TS409 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-orion5x/wrt350n-v2-setup.c : CONFIG_MACH_WRT350N_V2 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/csb701.c : CONFIG_CSB726_CSB701 : none
-dDc---H----- : /gpio-keys : gpio-keys : arch/arm/mach-pxa/em-x270.c : CONFIG_MACH_EM_X270 : none
